"id","product_uid","product_title","search_term","relevance"
2,100001,"Simpson Strong-Tie 12-Gauge Angle","angle bracket",3
3,100001,"Simpson Strong-Tie 12-Gauge Angle","l bracket",2.5
9,100002,"BEHR Premium Textured DeckOver 1-gal. #SC-141 Tugboat Wood and Concrete Coating","deck over",3
16,100005,"Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included)","rain shower head",2.33
17,100005,"Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included)","shower only faucet",2.67
18,100006,"Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking","convection otr",3
20,100006,"Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking","microwave over stove",2.67
21,100006,"Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking","microwaves",3
23,100007,"Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit","emergency light",2.67
27,100009,"House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing","mdf 3/4",3
34,100010,"Valley View Industries Metal Stakes (4-Pack)","steele stake",2.67
35,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","briggs and stratton lawn mower",3
36,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","briggs and stratton lawn mower",3
37,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","gas mowe",3
38,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","honda mower",2
39,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","briggs and stratton lawn mower",3
48,100012,"Hampton Bay Caramel Simple Weave Bamboo Rollup Shade - 96 in. W x 72 in. L","hampton bay chestnut pull up shade",2.67
51,100013,"InSinkErator SinkTop Switch Single Outlet for InSinkErator Disposers","disposer",2.67
65,100016,"Sunjoy Calais 8 ft. x 5 ft. x 8 ft. Steel Tile Fabric Grill Gazebo","grill gazebo",3
69,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","door guards",1
75,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","metal plate cover gcfi",1.67
81,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","radiator grate",2.33
85,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","windows screens",2.33
88,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","1x1 rail decorative wood",1.33
90,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","4*8 beadboard paneling",2.67
92,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","4x8 beaded paneling",2.33
101,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","MDF 4x8",1.33
105,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","wainscot chair rail",2.33
106,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","wainscot plank paneling",2.33
113,100021,"1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head","lawn sprkinler",2
114,100021,"1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head","rainbird sprinkler",2.33
117,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","PLATFORM FOR WASHERS",2.67
120,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","samsung front load washer 3.7",2
122,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","upholstery washing machines with steam",2.33
123,100023,"Quikrete 80 lb. Crack-Resistant Concrete","CONCRETE & MASONRY CLEANER & ETCHER",3
125,100023,"Quikrete 80 lb. Crack-Resistant Concrete","concrete for ponds",2
126,100023,"Quikrete 80 lb. Crack-Resistant Concrete","concrete for ponds",2
127,100023,"Quikrete 80 lb. Crack-Resistant Concrete","flexlock for cracks",2
136,100026,"Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver","Belgium block pavers",2
